delay-poison,Stops poison from harming target for 1 hour/level.
detect-thoughts,Allows “listening” to surface thoughts.
eagle-s-splendor,"Subject gains +4 to <a href=""gettingStarted.html#_charisma-new"">Cha</a> for 1 min./level."
enthrall,Captivates all within 100 ft. + 10 ft./level.
fox-s-cunning,"Subject gains +4 to <a href=""gettingStarted.html#_intelligence"">Int</a> for 1 min./level."
glitterdust,"Blinds creatures, outlines <a href=""glossary.html#_invisible"">invisible</a> creatures."
heroism,"Gives +2 on attack rolls, saves, skill checks."
hold-person,Paralyzes one humanoid for 1 round/level.
hypnotic-pattern,Fascinates (2d4 + level) HD of creatures.
invisibility,"Subject is <a href=""glossary.html#_invisible"">invisible</a> for 1 min./level or until it attacks."
locate-object,Senses direction toward object (specific or type).
minor-image,"As <i><a href=""spells/silentImage.html#_silent-image"">silent image</a></i>, plus some sound."
mirror-image,"Creates decoy duplicates of you (1d4 + 1 per three levels, max 8)."
misdirection,Misleads divinations for one creature or object.
pyrotechnics,Turns fire into blinding light or choking smoke.
rage,"Gives +2 to <a href=""gettingStarted.html#_strength"">Str</a> and <a href=""gettingStarted.html#_constitution"">Con</a>, +1 on <a href=""combat.html#_will"">Will</a> saves, &#8211;2 to <a href=""combat.html#_armor-class"">AC</a>."
scare,Panics creatures of less than 6 HD.
shatter,Sonic vibration damages objects or crystalline creatures.
silence,Negates sound in 20-ft. radius.
sound-burst,Deals 1d8 sonic damage and may stun subjects.
suggestion,Compels subject to follow stated course of action.
summon-monster-ii,Summons extraplanar creature to fight for you.
summon-swarm,"Summons swarm of bats, rats, or spiders."
tongues,Speak and understand any language.
whispering-wind,Sends a short message 1 mile/level.
blink,You randomly vanish and reappear for 1 round/level.
charm-monster,Makes monster believe it is your ally.
clairaudience-clairvoyance,Hear or see at a distance for 1 min./level.
confusion,Subjects behave oddly for 1 round/level.
crushing-despair,"Subjects take –2 on attack rolls, damage rolls, saves, and checks."
cure-serious-wounds,Cures 3d8 damage + 1/level (max +15).
daylight,60-ft. radius of bright light.
deep-slumber,"Puts 10 HD of creatures to <a href=""spells/sleep.html#_sleep"">sleep</a>."
dispel-magic,Cancels one magical spell or effect.
displacement,Attacks miss subject 50% of the time.
fear,Subjects within cone flee for 1 round/level.
gaseous-form,Subject becomes insubstantial and can fly slowly.
geas-lesser,Commands subject of 7 HD or less.
glibness,"You gain +20 bonus on Bluff checks, and your lies can escape magical discernment."
good-hope,"Subjects gain +2 on attack rolls, damage rolls, saves, and checks."
haste,"One creature/level moves faster, receives +1 on attack rolls, <a href=""combat.html#_armor-class"">AC</a>, and <a href=""combat.html#_reflex"">Reflex</a> saves."
illusory-script,Only select creatures can read text.
invisibility-sphere,"Makes everyone within 10 feet <a href=""glossary.html#_invisible"">invisible</a>."
major-image,"As <i><a href=""spells/silentImage.html#_silent-image"">silent image</a></i>, plus sound, smell, and thermal effects."
phantom-steed,Magic horse appears for 1 hour/level.
remove-curse,Frees object or person from curse.
scrying,Spies on subject from a distance.
sculpt-sound,Creates new sounds or changes existing ones into new sounds.
secret-page,Changes one page to hide its real content.
see-invisibility,"Reveals <a href=""glossary.html#_invisible"">invisible</a> creatures or objects."
sepia-snake-sigil,Creates a snake-shaped text symbol that immobilizes reader.
slow,"One subject/level takes only one action/round, –1 to <a href=""combat.html#_armor-class"">AC</a>, <a href=""combat.html#_reflex"">Reflex</a> saves, and attack rolls."
speak-with-animals,You can communicate with animals.
summon-monster-iii,Summons extraplanar creature to fight for you.
tiny-hut,Creates shelter for 10 creatures.
break-enchantment,"Frees subjects from enchantments, transmutations, and curses."
cure-critical-wounds,Cures 4d8 damage + 1/level (max +20).
detect-scrying,Alerts you to magical eavesdropping.
dimension-door,Teleports you a short distance.
dominate-person,Controls humanoid telepathically.
freedom-of-movement,Subject moves normally despite impediments to restrict movement.
hallucinatory-terrain,"Makes one type of terrain appear like another (field as forest, or the like)."
hold-monster,"As <i><a href=""spells/holdPerson.html#_hold-person"">hold person</a></i>, but any creature."
invisibility-greater,"As <i><a href=""spells/invisibility.html#_invisibility"">invisibility</a>, </i>but subject can attack and stay <a href=""glossary.html#_invisible"">invisible</a>."
legend-lore,"Lets you learn tales about a person, place, or thing."
locate-creature,Indicates direction to known creature.
modify-memory,Changes 5 minutes of subject's memories.
neutralize-poison,"Immunizes subject against poison, detoxifies venom in or on subject."
rainbow-pattern,Lights fascinate 24 HD of creatures.
repel-vermin,"Insects, spiders, and other vermin stay 10 ft. away."
secure-shelter,Creates sturdy cottage.
shadow-conjuration,"Mimics conjuration below 4th level, but only 20% real."
shout,Deafens all within cone and deals 5d6 sonic damage.
speak-with-plants,You can talk to plants and plant creatures.
summon-monster-iv,Summons extraplanar creature to fight for you.
zone-of-silence,Keeps eavesdroppers from overhearing you.
cure-light-wounds-mass,"Cures 1d8 damage + 1/level, affects 1 subject/level."
dispel-magic-greater,"Works as <i><a href=""spells/dispelMagic.html#_dispel-magic"">dispel magic</a>,</i> but can affect multiple targets."
dream,Sends message to anyone sleeping.
false-vision,Fools scrying with an illusion.
heroism-greater,"Gives +4 bonus on attack rolls, saves, skill checks; immunity to fear; temporary hp."
mind-fog,"Subjects in fog get –10 to <a href=""gettingStarted.html#_wisdom"">Wis</a> and <a href=""combat.html#_will"">Will</a> checks."
mirage-arcana,"As <i><a href=""spells/hallucinatoryTerrain.html#_hallucinatory-terrain"">hallucinatory terrain</a>, </i>plus structures."
mislead,"Turns you <a href=""glossary.html#_invisible"">invisible</a> and creates illusory double."
nightmare,"Sends vision dealing 1d10 damage, fatigue."
persistent-image,"As <i><a href=""spells/majorImage.html#_major-image"">major image</a></i>, but no concentration required."
seeming,Changes appearance of one person per two levels.
shadow-evocation,"Mimics evocation of lower than 5th level, but only 20% real."
shadow-walk,Step into shadow to travel rapidly.
song-of-discord,Forces targets to attack each other.
suggestion-mass,"As <i><a href=""spells/suggestion.html#_suggestion"">suggestion</a>, </i>affects subject/level."
summon-monster-v,Summons extraplanar creature to fight for you.
analyze-dweomer,Reveals magical aspects of subject.
animate-objects,Objects attack your foes.
cat-s-grace-mass,"As <i><a href=""spells/catSGrace.html#_cat-s-grace"">cat's grace</a></i>, affects 1 subject/level."
charm-monster-mass,"As <i><a href=""spells/charmMonster.html#_charm-monster"">charm monster</a>, </i>but all within 30 ft."
cure-moderate-wounds-mass,"Cures 2d8 damage + 1/level, affects 1 subject/level."
eagle-s-splendor-mass,"As <i><a href=""spells/eagleSSplendor.html#_eagle-s-splendor"">eagle's splendor</a></i>, affects 1 subject/level."
eyebite,"Target becomes <a href=""glossary.html#_panicked"">panicked</a>, <a href=""glossary.html#_sickened"">sickened</a>, and/or comatose."
find-the-path,Shows most direct way to a location.
fox-s-cunning-mass,"As <i><a href=""spells/foxSCunning.html#_fox-s-cunning"">fox's cunning</a></i>, affects 1 subject/level."
geas-quest,"As <i>lesser geas, </i>but affects any creature."
heroes-feast,Food for one creature/level cures and grants combat bonuses<i>.</i>
irresistible-dance,Forces subject to dance.
permanent-image,"Permanent illusion, includes sight, sound, smell, and thermal effects."
programmed-image,"As <i><a href=""spells/majorImage.html#_major-image"">major image</a></i>, plus triggered by event."
project-image,Illusory double can talk and cast spells.
scrying-greater,"As <i><a href=""spells/scrying.html#_scrying"">scrying</a></i>, but faster and longer."
shout-greater,Devastating yell deals 10d6 sonic damage; stuns creatures.
summon-monster-vi,Summons extraplanar creature to fight for you.
sympathetic-vibration,Deals 2d10 damage/round to freestanding structure.
veil,Changes appearance of group of creatures.
bleed,"Cause a stabilized creature to resume <a href=""glossary.html#_dying"">dying</a>."
create-water,Creates 2 gallons/level of pure water.
detect-magic,Detects spells and magic items within 60 ft.
detect-poison,Detects poison in one creature or object.
guidance,"+1 on one attack roll, saving throw, or skill check."
light,Object shines like a torch.
mending,Makes minor repairs on an object.
purify-food-and-drink,Purifies 1 cu. ft./level of food or water.
read-magic,Read scrolls and spellbooks.
resistance,Subject gains +1 on saving throws.
stabilize,"Cause a <a href=""glossary.html#_dying"">dying</a> creature to stabilize."
virtue,Subject gains 1 temporary hp.
bane,Enemies take –1 on attack rolls and saves against fear.
bless,Allies gain +1 on attack rolls and saves against fear.
bless-water,Makes holy water.
cause-fear,One creature of 5 HD or less flees for 1d4 rounds.
command,One subject obeys selected command for 1 round.
comprehend-languages,You understand all spoken and written languages.
cure-light-wounds,Cures 1d8 damage + 1/level (max +5).
curse-water,Makes unholy water.
deathwatch,Reveals how near death subjects within 30 ft. are.
detect-chaos,"Reveals creatures, spells, or objects of selected alignment."
detect-undead,Reveals undead within 60 ft.
divine-favor,You gain +1 per three levels on attack and damage rolls.
doom,"One subject takes –2 on attack rolls, damage rolls, saves, and checks."
endure-elements,Exist comfortably in hot or cold regions.
entropic-shield,Ranged attacks against you have 20% miss chance.
hide-from-undead,Undead can't perceive one subject/level.
inflict-light-wounds,Touch deals 1d8 damage +1/level (max +5).
magic-stone,"Three stones gain +1 on attack, deal 1d6 +1 damage."
magic-weapon,Weapon gains +1 bonus.
obscuring-mist,Fog surrounds you.
protection-from-evil,"+2 to <a href=""combat.html#_armor-class"">AC</a> and saves, plus additional protection against selected alignment."
remove-fear,Suppresses fear or gives +4 on saves against fear for one subject + one per four levels.
sanctuary,"Opponents can't attack you, and you can't attack."
shield-of-faith,Aura grants +2 or higher deflection bonus.
summon-monster-i,Summons extraplanar creature to fight for you.
aid,"+1 on attack rolls and saves against fear, 1d8 temporary hp +1/level (max +10)."
align-weapon,"Weapon becomes good, evil, lawful, or chaotic."
augury,Learns whether an action will be good or bad.
bear-s-endurance,"Subject gains +4 to <a href=""gettingStarted.html#_constitution"">Con</a> for 1 min./level."
bull-s-strength,"Subject gains +4 to <a href=""gettingStarted.html#_strength"">Str</a> for 1 min./level."
calm-emotions,"Calms creatures, negating emotion effects."
consecrate,"Fills area with positive energy, weakening undead."
cure-moderate-wounds,Cures 2d8 damage + 1/level (max +10).
darkness,20-ft. radius of supernatural shadow.
death-knell,"Kills <a href=""glossary.html#_dying"">dying</a> creature; you gain 1d8 temporary hp, +2 to <a href=""gettingStarted.html#_strength"">Str</a>, and +1 caster level."
delay-poison,Stops poison from harming target for 1 hour/level.
desecrate,"Fills area with negative energy, making undead stronger."
eagle-s-splendor,"Subject gains +4 to <a href=""gettingStarted.html#_charisma-new"">Cha</a> for 1 min./level."
enthrall,Captivates all within 100 ft. + 10 ft./level.
find-traps,Notice traps as a rogue does.
gentle-repose,Preserves one corpse.
hold-person,Paralyzes one humanoid for 1 round/level.
inflict-moderate-wounds,"Touch attack, 2d8 damage + 1/level (max +10)."
make-whole,Repairs an object.
owl-s-wisdom,"Subject gains +4 to <a href=""gettingStarted.html#_wisdom"">Wis</a> for 1 min./level."
remove-paralysis,"Frees creatures from paralysis or <i><a href=""spells/slow.html#_slow"">slow</a></i> effect."
resist-energy,Ignores 10 (or more) points of damage/attack from specified energy type.
restoration-lesser,Dispels magical ability penalty or repairs 1d4 ability damage.
shatter,Sonic vibration damages objects or crystalline creatures.
shield-other,You take half of subject's damage.
silence,Negates sound in 20-ft. radius.
sound-burst,Deals 1d8 sonic damage to subjects; may stun them.
spiritual-weapon,Magic weapon attacks on its own.
status,"Monitors condition, position of allies."
summon-monster-ii,Summons extraplanar creature to fight for you.
undetectable-alignment,Conceals alignment for 24 hours.
zone-of-truth,Subjects within range cannot lie.
animate-dead,Creates undead skeletons and zombies.
bestow-curse,"–6 to an ability score; –4 on attack rolls, saves, and checks; or 50% chance of losing each action."
blindness-deafness,"Makes subject <a href=""glossary.html#_blinded"">blinded</a> or deafened."
contagion,Infects subject with chosen disease.
continual-flame,"Makes a permanent, heatless light."
create-food-and-water,Feeds three humans (or one horse)/level.
cure-serious-wounds,Cures 3d8 damage + 1/level (max +15).
daylight,60-ft. radius of bright light.
deeper-darkness,Object sheds supernatural shadow in 60-ft. radius.
dispel-magic,Cancels one magical spell or effect.
glyph-of-warding,Inscription harms those who pass it.
helping-hand,Ghostly hand leads subject to you.
inflict-serious-wounds,"Touch attack, 3d8 damage + 1/level (max +15)."
invisibility-purge,Dispels invisibility within 5 ft./level.
locate-object,Senses direction toward object (specific or type).
magic-circle-against-chaos,"As <i>protection </i>spells, but 10-ft. radius and 10 min./level."
magic-vestment,Armor or shield gains +1 enhancement per four levels.
meld-into-stone,You and your gear merge with stone.
obscure-object,"Masks object against <a href=""spells/scrying.html#_scrying"">scrying</a>."
prayer,"Allies get +1 bonus on most rolls, enemies –1 penalty."
protection-from-energy,Absorb 12 points/level of damage from one kind of energy.
remove-blindness-deafness,Cures normal or magical blindness or deafness.
remove-curse,Frees object or person from curse.
remove-disease,Cures all diseases affecting subject.
searing-light,Ray deals 1d8/two levels damage (more against undead).
speak-with-dead,Corpse answers one question/two levels.
stone-shape,Sculpts stone into any shape.
summon-monster-iii,Summons extraplanar creature to fight for you.
water-breathing,Subjects can breathe underwater.
water-walk,Subject treads on water as if solid.
wind-wall,"Deflects arrows, smaller creatures, and gases."
air-walk,Subject treads on air as if solid (climb or descend at 45-degree angle).
chaos-hammer,Harms and slows lawful creatures (1d8 damage/2 levels).
control-water,Raises or lowers bodies of water.
cure-critical-wounds,Cures 4d8 damage + 1/level (max +20).
death-ward,Grants bonuses against death spells and negative energy.
dimensional-anchor,Bars extradimensional movement.
discern-lies,Reveals deliberate falsehoods.
dismissal,Forces a creature to return to native plane.
divination,Provides useful advice for specific proposed actions.
divine-power,You gain attack bonuses and 1 hp/level.
freedom-of-movement,Subject moves normally despite impediments to movement.
giant-vermin,"Turns centipedes, scorpions, or spiders into giant vermin."
holy-smite,Harms and possibly blinds evil creatures (1d8 damage/2 levels).
imbue-with-spell-ability,Transfer spells to subject.
inflict-critical-wounds,"Touch attack, 4d8 damage + 1/level (max +20)."
magic-weapon-greater,Weapon gains +1 bonus/four levels (max +5).
neutralize-poison,"Immunizes subject against poison, detoxifies venom in or on subject."
order-s-wrath,Harms and dazes chaotic creatures (1d8 damage/2 levels).
planar-ally-lesser,Exchange services with a 6 HD extraplanar creature.
poison,"Touch deals 1d3 <a href=""gettingStarted.html#_constitution"">Con</a> damage 1/round for 6 rounds."
repel-vermin,"Insects, spiders, and other vermin stay 10 ft. away."
restoration,Restores level and ability score drains.
sending,"Delivers short message anywhere, instantly."
spell-immunity,Subject is immune to one spell per 4 levels.
summon-monster-iv,Summons extraplanar creature to fight for you.
tongues,Speak and understand any language.
unholy-blight,Harms and sickens good creatures (1d8 damage/2 levels).
atonement,Removes burden of misdeeds from subject and reverses magical alignment change.
break-enchantment,"Frees subjects from enchantments, transmutations, and curses."
breath-of-life,Cures 5d8 damage + 1/level and restores life to recently slain creatures.
command-greater,"As <i><a href=""spells/command.html#_command"">command</a>, </i>but affects one subject/level."
commune,Deity answers one yes-or-no question/level.
cure-light-wounds-mass,"Cures 1d8 damage + 1/level, affects 1 subject/level."
dispel-evil,+4 bonus against attacks.
disrupting-weapon,Melee weapon destroys undead.
flame-strike,Smites foes with divine fire (1d6/level damage).
hallow,Designates location as holy.
inflict-light-wounds-mass,"Deals 1d8 damage + 1/level, affects 1 subject/level."
insect-plague,Wasp swarms attack creatures.
mark-of-justice,Designates action that triggers <i>curse </i>on subject.
plane-shift,As many as 8 subjects travel to another plane.
raise-dead,Restores life to subject who died as long as one day/level ago.
righteous-might,"Your size increases, and you gain bonuses in combat."
scrying,Spies on subject from a distance.
slay-living,Touch attack deals 12d6 + 1 per level.
spell-resistance,Subject gains SR 12 + level.
summon-monster-v,Summons extraplanar creature to fight for you.
symbol-of-pain,Triggered rune wracks nearby creatures with pain.
symbol-of-sleep,Triggered rune puts nearby creatures into catatonic slumber.
true-seeing,Lets you see all things as they really are.
unhallow,Designates location as unholy.
wall-of-stone,Creates a stone wall that can be shaped.
animate-objects,Objects attack your foes.
antilife-shell,10-ft.-radius field hedges out living creatures.
banishment,Banishes 2 HD/level of extraplanar creatures.
bear-s-endurance-mass,"As <i><a href=""spells/bearSEndurance.html#_bear-s-endurance"">bear's endurance</a></i>, affects 1 subject/level."
blade-barrier,Wall of blades deals 1d6/level damage.
bull-s-strength-mass,"As <i><a href=""spells/bullSStrength.html#_bull-s-strength"">bull's strength</a></i>, affects 1 subject/level."
create-undead,"Create ghasts, ghouls, mohrgs, or mummies."
cure-moderate-wounds-mass,"Cures 2d8 damage + 1/level, affects 1 subject/level."
dispel-magic-greater,"As <i><a href=""spells/dispelMagic.html#_dispel-magic"">dispel magic</a></i>, but with multiple targets."
eagle-s-splendor-mass,"As <i><a href=""spells/eagleSSplendor.html#_eagle-s-splendor"">eagle's splendor</a></i>, affects 1 subject/level."
find-the-path,Shows most direct way to a location.
forbiddance,"Blocks planar travel, damages creatures of different alignment."
geas-quest,"As <i>lesser geas, </i>but affects any creature."
glyph-of-warding-greater,"As <i><a href=""spells/glyphOfWarding.html#_glyph-of-warding"">glyph of warding</a></i>, but up to 10d8 damage or 6th-level spell."
harm,Deals 10 points/level damage to target.
heal,"Cures 10 points/level damage, all diseases and mental conditions."
heroes-feast,Food for one creature/level cures and grants combat bonuses<i>.</i>
cure-moderate-wounds-mass,"Deals 2d8 damage + 1/level, affects 1 subject/level."
owl-s-wisdom-mass,"As <i><a href=""spells/owlSWisdom.html#_owl-s-wisdom"">owl's wisdom</a></i>, affects 1 subject/level."
planar-ally,"As <i><a href=""spells/planarAlly.html#_planar-ally-lesser"">lesser planar ally</a>, </i>but up to 12 HD."
summon-monster-vi,Summons extraplanar creature to fight for you.
symbol-of-fear,Triggered rune panics nearby creatures.
symbol-of-persuasion,Triggered rune charms nearby creatures.
undeath-to-death,Destroys 1d4 HD/level undead (max. 20d4).
wind-walk,You and your allies turn vaporous and travel fast.
word-of-recall,Teleports you back to designated place.
blasphemy,"Kills, paralyzes, weakens, or dazes nonevil subjects."
control-weather,Changes weather in local area.
cure-serious-wounds-mass,"Cures 3d8 damage + 1/level, affects 1 subject/level."
destruction,Kills subject and destroys remains.
dictum,"Kills, paralyzes, staggers, or deafens nonlawful targets."
ethereal-jaunt,You become ethereal for 1 round/level.
holy-word,"Kills, paralyzes, blinds, or deafens nongood subjects."
inflict-serious-wounds-mass,"Deals 3d8 damage + 1/level, affects 1 subject/level."
refuge,Alters item to transport its possessor to you.
regenerate,"Subject's severed limbs grow back, cures 4d8 damage +1/level (max +35)."
repulsion,Creatures can't approach you.
restoration-greater,"As <i><a href=""spells/restoration.html#_restoration"">restoration</a>, </i>plus restores all levels and ability scores."
resurrection,Fully restore dead subject.
scrying-greater,"As <i><a href=""spells/scrying.html#_scrying"">scrying</a></i>, but faster and longer."
summon-monster-vii,Summons extraplanar creature to fight for you.
symbol-of-stunning,Triggered rune stuns nearby creatures.
symbol-of-weakness,Triggered rune weakens nearby creatures.
word-of-chaos,"Kills, confuses<i>, </i>stuns, or deafens nonchaotic subjects."
antimagic-field,Negates magic within 10 ft.
cloak-of-chaos,"+4 to <a href=""combat.html#_armor-class"">AC</a>, +4 resistance, and SR 25 against lawful spells."
create-greater-undead,"Create shadows, wraiths, spectres, or devourers."
cure-critical-wounds-mass,Cures 4d8 damage + 1/level for many creatures.
dimensional-lock,Teleportation and interplanar travel blocked for 1 day/level.
discern-location,Reveals exact location of creature or object.
earthquake,Intense tremor shakes 80-ft. radius.
fire-storm,Deals 1d6/level fire damage.
holy-aura,"+4 to <a href=""combat.html#_armor-class"">AC</a>, +4 resistance, and SR 25 against evil spells."
inflict-critical-wounds-mass,"Deals 4d8 damage + 1/level, affects 1 subject/level."
planar-ally-greater,"As <i><a href=""spells/planarAlly.html#_planar-ally-lesser"">lesser planar ally</a>, </i>but up to 18 HD."
shield-of-law,"+4 to <a href=""combat.html#_armor-class"">AC</a>, +4 resistance, and SR 25 against chaotic spells."
spell-immunity-greater,"As <i><a href=""spells/spellImmunity.html#_spell-immunity"">spell immunity</a>, </i>but up to 8th-level spells."
summon-monster-viii,Summons extraplanar creature to fight for you.
symbol-of-death,Triggered rune kills nearby creatures.
symbol-of-insanity,Triggered rune renders nearby creatures insane.
unholy-aura,"+4 to <a href=""combat.html#_armor-class"">AC</a>, +4 resistance, and SR 25 against good spells."
astral-projection,Projects you and others onto Astral Plane.
energy-drain,"Subject gains 2d4 <a href=""glossary.html#_energy-drain-and-negative-levels"">negative levels</a>."
etherealness,Travel to Ethereal Plane with companions.
gate,Connects two planes for travel or summoning.
heal-mass,"As <i><a href=""spells/heal.html#_heal"">heal</a></i>, but affects 1 subject/level."
implosion,Inflict 10 damage/level to one creature/round.
miracle,Requests a deity's intercession.
soul-bind,"Traps newly dead soul to prevent <i><a href=""spells/resurrection.html#_resurrection"">resurrection</a></i>."
storm-of-vengeance,"Storm rains acid, lightning, and hail."
summon-monster-ix,Summons extraplanar creature to fight for you.
true-resurrection,"As <i><a href=""spells/resurrection.html#_resurrection"">resurrection</a></i>, plus remains aren't needed."
create-water,Creates 2 gallons/level of pure water.
detect-magic,Detects spells and magic items within 60 ft.
detect-poison,Detects poison in one creature or object.
flare,Dazzles one creature (–1 penalty on attack rolls).
guidance,"+1 on one attack roll, saving throw, or skill check."
know-direction,You discern north.
light,Object shines like a torch.
mending,Makes minor repairs on an object.
purify-food-and-drink,Purifies 1 cu. ft./level of food or water.
read-magic,Read scrolls and spellbooks.
resistance,Subject gains +1 bonus on saving throws.
stabilize,"Cause a <a href=""glossary.html#_dying"">dying</a> creature to stabilize."
virtue,Subject gains 1 temporary hp.
calm-animals,Calms 2d4 + level HD of animals.
charm-animal,Makes one animal your friend.
cure-light-wounds,Cures 1d8 damage + 1/level (max +5).
detect-animals-or-plants,Detects kinds of animals or plants.
detect-snares-and-pits,Reveals natural or primitive traps.
endure-elements,Exist comfortably in hot or cold regions.
entangle,Plants entangle everyone in 40-ft. radius.
faerie-fire,"Outlines subjects with light, canceling <i><a href=""spells/blur.html#_blur"">blur</a></i>, concealment, and the like."
goodberry,2d4 berries each cure 1 hp (max 8 hp/24 hours).
hide-from-animals,Animals can't perceive one subject/level.
jump,Subject gets bonus on Acrobatics checks.
longstrider,Your speed increases by 10 ft.
magic-fang,One natural weapon of subject creature gets +1 on attack and damage rolls.
magic-stone,"Three stones gain +1 on attack rolls, deal 1d6+1 damage."
obscuring-mist,Fog surrounds you.
pass-without-trace,One subject/level leaves no tracks.
produce-flame,"1d6 damage + 1/level, touch or thrown."
shillelagh,Cudgel or quarterstaff becomes +1 weapon (2d6 damage) for 1 min./level.
speak-with-animals,You can communicate with animals.
summon-nature-s-ally-i,Summons creature to fight.
animal-messenger,Sends a Tiny animal to a specific place.
animal-trance,Fascinates 2d6 HD of animals.
barkskin,Grants +2 (or higher) enhancement to natural armor.
bear-s-endurance,"Subject gains +4 to <a href=""gettingStarted.html#_constitution"">Con</a> for 1 min./level."
bull-s-strength,"Subject gains +4 to <a href=""gettingStarted.html#_strength"">Str</a> for 1 min./level."
cat-s-grace,"Subject gains +4 to <a href=""gettingStarted.html#_dexterity"">Dex</a> for 1 min./level."
chill-metal,Cold metal damages those who touch it.
delay-poison,Stops poison from harming subject for 1 hour/level.
fire-trap,Opened object deals 1d4 + 1/level damage.
flame-blade,Touch attack deals 1d8 + 1/two levels damage.
flaming-sphere,Rolling ball of fire deals 3d6 fire damage.
fog-cloud,Fog obscures vision.
gust-of-wind,Blows away or knocks down smaller creatures.
heat-metal,Makes metal so hot it damages those who touch it.
hold-animal,Paralyzes one animal for 1 round/level.
owl-s-wisdom,"Subject gains +4 to <a href=""gettingStarted.html#_wisdom"">Wis</a> for 1 min./level."
reduce-animal,Shrinks one willing animal.
resist-energy,Ignores 10 or more points of damage per attack from specified energy type.
restoration-lesser,Dispels magical ability penalty or repairs 1d4 ability damage.
soften-earth-and-stone,"Turns stone to clay, or dirt to sand or mud."
spider-climb,Grants ability to walk on walls and ceilings.
summon-nature-s-ally-ii,Summons creature to fight.
summon-swarm,"Summons swarm of bats, rats, or spiders."
tree-shape,You look exactly like a tree for 1 hour/level.
warp-wood,Bends wood.
wood-shape,Reshapes wooden objects to suit you.
call-lightning,Calls down lightning bolts (3d6 per bolt) from sky.
contagion,Infects subject with chosen disease.
cure-moderate-wounds,Cures 2d8 damage + 1/level (max +10).
daylight,60-ft. radius of bright light.
diminish-plants,Reduces size or blights the growth of normal plants.
dominate-animal,One animal obeys your silent mental commands and orders.
magic-fang-greater,One natural weapon gets + 1/four levels (max +5).
meld-into-stone,You and your gear merge with stone.
neutralize-poison,"Immunizes subject against poison, detoxifies venom in or on subject."
plant-growth,"Grows vegetation, improves crops."
poison,"Touch deals 1d3 <a href=""gettingStarted.html#_constitution"">Con</a> damage 1/round for 6 rounds."
protection-from-energy,Absorbs 12 points/level of damage from one kind of energy.
quench,Extinguishes fires.
remove-disease,Cures all diseases affecting subject.
sleet-storm,Hampers vision and movement.
snare,Creates a magic booby trap.
speak-with-plants,You can talk to plants and plant creatures.
spike-growth,"Creatures in area take 1d4 damage, may be slowed<i>.</i>"
stone-shape,Sculpts stone into any shape.
summon-nature-s-ally-iii,Summons creature to fight.
water-breathing,Subjects can breathe underwater.
wind-wall,"Deflects arrows, smaller creatures, and gases."
air-walk,Subject treads on air as if solid (climb or descend at 45-degree angle).
antiplant-shell,Keeps animated plants at bay.
blight,Withers one plant or deals 1d6/level damage to plant creature.
command-plants,Sways the actions of plant creatures.
control-water,Raises or lowers bodies of water.
cure-serious-wounds,Cures 3d8 damage + 1/level (max +15).
dispel-magic,Cancels one magical spell or effect.
flame-strike,Smites foes with divine fire (1d6/level damage).
